2025-12-13 18:33:05 | INFO | train_base_models | [Credit_Profile] [LightGBM] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Credit_Profile_LightGBM_fold4.pkl
2025-12-13 18:33:06 | INFO | train_base_models | [Credit_Profile] [LightGBM] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Credit_Profile_LightGBM_fold5.pkl
2025-12-13 18:33:06 | INFO | train_base_models | [Credit_Profile] [LightGBM] FINAL OOF AUC = 0.6292
2025-12-13 18:33:06 | INFO | train_base_models | 
==================== Group: Utilization_and_Activity ====================
2025-12-13 18:33:06 | INFO | train_base_models | [Utilization_and_Activity] X shape: (180488, 29), y shape: (180488,)
2025-12-13 18:33:06 | INFO | train_base_models | [Utilization_and_Activity] ▶ Training model: XGBoost
2025-12-13 18:33:07 | INFO | train_base_models | [Utilization_and_Activity] [XGBoost] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Utilization_and_Activity_XGBoost_fold1.pkl
2025-12-13 18:33:07 | INFO | train_base_models | [Utilization_and_Activity] [XGBoost] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Utilization_and_Activity_XGBoost_fold2.pkl
2025-12-13 18:33:08 | INFO | train_base_models | [Utilization_and_Activity] [XGBoost] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Utilization_and_Activity_XGBoost_fold3.pkl
2025-12-13 18:33:08 | INFO | train_base_models | [Utilization_and_Activity] [XGBoost] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Utilization_and_Activity_XGBoost_fold4.pkl
2025-12-13 18:33:08 | INFO | train_base_models | [Utilization_and_Activity] [XGBoost] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Utilization_and_Activity_XGBoost_fold5.pkl
2025-12-13 18:33:09 | INFO | train_base_models | [Utilization_and_Activity] [XGBoost] FINAL OOF AUC = 0.6532
2025-12-13 18:33:09 | INFO | train_base_models | [Utilization_and_Activity] ▶ Training model: GBDT
2025-12-13 18:34:21 | INFO | train_base_models | [Utilization_and_Activity] [GBDT] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Utilization_and_Activity_GBDT_fold1.pkl
2025-12-13 18:35:34 | INFO | train_base_models | [Utilization_and_Activity] [GBDT] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Utilization_and_Activity_GBDT_fold2.pkl
2025-12-13 18:36:47 | INFO | train_base_models | [Utilization_and_Activity] [GBDT] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Utilization_and_Activity_GBDT_fold3.pkl
2025-12-13 18:37:59 | INFO | train_base_models | [Utilization_and_Activity] [GBDT] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Utilization_and_Activity_GBDT_fold4.pkl
2025-12-13 18:39:13 | INFO | train_base_models | [Utilization_and_Activity] [GBDT] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Utilization_and_Activity_GBDT_fold5.pkl
2025-12-13 18:39:13 | INFO | train_base_models | [Utilization_and_Activity] [GBDT] FINAL OOF AUC = 0.6509
2025-12-13 18:39:13 | INFO | train_base_models | [Utilization_and_Activity] ▶ Training model: AdaBoost
2025-12-13 18:39:46 | INFO | train_base_models | [Utilization_and_Activity] [AdaBoost] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Utilization_and_Activity_AdaBoost_fold1.pkl
2025-12-13 18:40:19 | INFO | train_base_models | [Utilization_and_Activity] [AdaBoost] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Utilization_and_Activity_AdaBoost_fold2.pkl
2025-12-13 18:40:52 | INFO | train_base_models | [Utilization_and_Activity] [AdaBoost] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Utilization_and_Activity_AdaBoost_fold3.pkl
2025-12-13 18:41:25 | INFO | train_base_models | [Utilization_and_Activity] [AdaBoost] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Utilization_and_Activity_AdaBoost_fold4.pkl
2025-12-13 18:41:58 | INFO | train_base_models | [Utilization_and_Activity] [AdaBoost] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Utilization_and_Activity_AdaBoost_fold5.pkl
2025-12-13 18:41:58 | INFO | train_base_models | [Utilization_and_Activity] [AdaBoost] FINAL OOF AUC = 0.6302
2025-12-13 18:41:58 | INFO | train_base_models | [Utilization_and_Activity] ▶ Training model: RandomForest
2025-12-13 18:42:06 | INFO | train_base_models | [Utilization_and_Activity] [RandomForest] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Utilization_and_Activity_RandomForest_fold1.pkl
2025-12-13 18:42:13 | INFO | train_base_models | [Utilization_and_Activity] [RandomForest] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Utilization_and_Activity_RandomForest_fold2.pkl
2025-12-13 18:42:21 | INFO | train_base_models | [Utilization_and_Activity] [RandomForest] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Utilization_and_Activity_RandomForest_fold3.pkl
